grupo,experimento,modelo,mae_medio,rmse_medio,r2_medio,kendall_tau_medio,top3_accuracy_medio,score_composto,top3_overlap_medio,score_tuning,pesos
target_retuned_completo,target_rank_norm_retuned,LightGBM,2.238087230118722,2.891199292473529,0.6857220197455328,0.6396412863682307,0.2840909090909091,0.5063457816660806,,,
score_weights_retuned,score_erro_continuo_retuned,LightGBM,2.311257440613673,2.9974266808748844,0.6620651568946333,0.6524330755462535,0.28409090909090906,0.5021876229206463,,,
validacao_causal_target,target_rank_norm_grid20_retuned,LightGBM,2.322673691539267,3.0109034371346937,0.6589361755071494,0.6531714881137395,0.2828282828282828,0.5013218006099966,,,
ensemble_otimizado,ensemble_grid_rank_14,ensemble,2.2517292502102326,2.9612508207600388,0.6700385574955301,0.6568660836796919,0.2563131313131313,0.5012628645600798,,0.5070242626518275,ridge=0.5;lgb_delta=0.5
ensemble_otimizado,ensemble_grid_rank_17,ensemble,2.2527757086154327,2.9689697789365685,0.6682945480075743,0.6570617438082725,0.2563131313131313,0.50100470446948,,0.5066039789591575,ridge=0.4;lgb_delta=0.6
loss_retuned,lgb_objective_huber_retuned,LightGBM,2.308020389126076,3.0410100100504915,0.6523647793809842,0.6497904621673268,0.2840909090909091,0.500637272682556,,,
validacao_causal_target,target_rank_norm_grid20_retuned,XGBoost,2.3062522411346436,2.9958892936046104,0.6623391707738241,0.6542044668264295,0.27020202020202017,0.5004604228776052,,,
ensemble_otimizado,ensemble_grid_rank_1,ensemble,2.2544269104765857,2.9992412048920554,0.6607632086707923,0.6563255817266512,0.2575757575757576,0.5000344863358452,,0.508396272592135,xgb=0.2;xgb_delta=0.8
ensemble_otimizado,ensemble_grid_rank_8,ensemble,2.2433362962785015,2.952784275401555,0.671677753736725,0.6594568757183684,0.24242424242424243,0.49992238024494356,,0.5075795911099156,ridge=0.4;xgb=0.2;xgb_delta=0.4
ensemble_otimizado,ensemble_grid_rank_2,ensemble,2.254081866741293,3.0024693529436277,0.6599986410732126,0.6560590564085264,0.2575757575757576,0.49991090054093446,,0.508386252638121,lgb=0.2;xgb_delta=0.8
retuned,xgboost_target_delta_retuned,XGBoost,2.2657350309269244,3.003344377783577,0.6601374437733739,0.6575481426446573,0.25757575757575757,0.4997365284368275,,,
target_retuned_completo,target_rank_norm_retuned,XGBoost,2.2542079525424765,2.899192152440549,0.6839023213907369,0.6433029995512406,0.24116161616161613,0.4995526126084411,,,
ensemble_otimizado,ensemble_grid_rank_4,ensemble,2.2532625699355284,3.0078763880782176,0.6587030879148612,0.6540438574119033,0.2575757575757576,0.49955248267470725,,0.5080085728610876,rf=0.1;xgb_delta=0.9
ensemble_otimizado,ensemble_grid_rank_20,ensemble,2.25906010639411,2.964124828495797,0.6691858989757692,0.6609635960266882,0.24242424242424243,0.49926903857621785,,0.5063098963986058,ridge=0.2;xgb=0.4;xgb_delta=0.4
ensemble_otimizado,ensemble_grid_rank_7,ensemble,2.2583689471229462,3.0103490249497664,0.6585420509960441,0.6524788696820548,0.2575757575757576,0.49921228888420244,,0.5076208050882389,lgb_delta=0.6;xgb_delta=0.4
ensemble_otimizado,ensemble_grid_rank_6,ensemble,2.2558898170923682,3.010329073307586,0.6584478765353519,0.6516595718297332,0.2575757575757576,0.49919123299616264,,0.507621282033144,lgb_delta=0.5;xgb_delta=0.5
ensemble_otimizado,ensemble_grid_rank_11,ensemble,2.2545801117189046,3.011510285951047,0.6580773661685719,0.6516440553926482,0.2575757575757576,0.49917869584845764,,0.5075215371444937,lgb_delta=0.4;xgb_delta=0.6
ensemble_otimizado,ensemble_grid_rank_12,ensemble,2.254558007289264,3.013891250140874,0.6574305198957043,0.6505620161216371,0.2575757575757576,0.49898425288748555,,0.5074066172509817,lgb_delta=0.3;xgb_delta=0.7
ensemble_otimizado,ensemble_grid_rank_18,ensemble,2.2643345881201795,2.955776360893557,0.6713338397861947,0.6558480230318583,0.24242424242424243,0.4989033981727157,,0.5065484839760213,ridge=0.6;lgb=0.2;lgb_delta=0.2
retuned,lightgbm_target_delta_retuned,LightGBM,2.2799827853470345,3.022420590842741,0.656155389777937,0.6512593106129084,0.25757575757575757,0.4981327069028502,,,
target_retuned_completo,target_delta_grid_retuned,LightGBM,2.2799827853470345,3.022420590842741,0.656155389777937,0.6512593106129084,0.25757575757575757,0.4981327069028502,,,
score_weights_retuned,score_rmse_r2_retuned,LightGBM,2.3176460729690365,3.0012490066943904,0.6612689956472495,0.6541701677068791,0.25631313131313127,0.4979047390350484,,,
decay_retuned,decay_0.98_retuned,LightGBM,2.317760030759187,3.00183722381129,0.6610825539674858,0.6542777290114533,0.25631313131313127,0.49788823479446503,,,
decay_retuned,decay_0.99_retuned,XGBoost,2.346654017766317,3.0300364984955146,0.6545620163281759,0.6486391438720457,0.27020202020202017,0.4977126986965522,,,
score_weights_retuned,score_atual_retuned,XGBoost,2.346654017766317,3.0300364984955146,0.6545620163281759,0.6486391438720457,0.27020202020202017,0.4977126986965522,,,
score_weights_retuned,score_rmse_r2_retuned,XGBoost,2.346654017766317,3.0300364984955146,0.6545620163281759,0.6486391438720457,0.27020202020202017,0.4977126986965522,,,
