qualifying_position,constructor_coef_rapm,recent_form_5,driver_constructor_synergy,constructor_wins_total,driver_coef_rapm,track_complexity,tire_compound_start,season_factor,avg_pit_stops_circuit,constructor_dnf_rate,grid_penalty,altitude_m
3,0.0,0.0,0.0,0.0,0.0,0.4408188646479906,0,2018,0.0,0.0,0,13
1,0.0,0.0,0.0,0.0,0.0,0.4408188646479906,0,2018,0.0,0.0,0,13
2,0.0,0.0,0.0,0.0,0.0,0.4408188646479906,0,2018,0.0,0.0,0,13
5,0.0,0.0,0.0,0.0,0.0,0.4408188646479906,0,2018,0.0,0.0,3,13
11,0.0,0.0,0.0,0.0,0.0,0.4408188646479906,0,2018,0.0,0.0,-1,13
4,0.0,0.0,0.0,0.0,0.0,0.4408188646479906,0,2018,0.0,0.0,0,13
8,0.0,0.0,0.0,0.0,0.0,0.4408188646479906,0,2018,0.0,0.0,-1,13
10,0.0,0.0,0.0,0.0,0.0,0.4408188646479906,0,2018,0.0,0.0,5,13
12,0.0,0.0,0.0,0.0,0.0,0.4408188646479906,0,2018,0.0,0.0,-1,13
9,0.0,0.0,0.0,0.0,0.0,0.4408188646479906,0,2018,0.0,0.0,0,13
13,0.0,0.0,0.0,0.0,0.0,0.4408188646479906,0,2018,0.0,0.0,-1,13
15,0.0,0.0,0.0,0.0,0.0,0.4408188646479906,0,2018,0.0,0.0,-1,13
18,0.0,0.0,0.0,0.0,0.0,0.4408188646479906,0,2018,0.0,0.0,0,13
14,0.0,0.0,0.0,0.0,0.0,0.4408188646479906,0,2018,0.0,0.0,-1,13
16,0.0,0.0,0.0,0.0,0.0,0.4408188646479906,3,2018,0.0,0.0,0,13
1,0.9382090844198852,1.0,-1.0,1.0,0.5600135842976796,0.4249044702495889,0,2018,1.2,0.0,0,7
3,0.4766705023928255,8.0,-8.0,0.0,-0.0343918750667976,0.4249044702495889,0,2018,1.2,0.0,0,7
4,0.4766705023928255,2.0,-2.0,0.0,0.5110623774596231,0.4249044702495889,3,2018,1.2,0.0,5,7
